docking_score,smiles
-8.8,Cc1nc([C@@H]2CN([C@@H]3CCCc4ccccc43)CCO2)n[nH]1
-8.6,O=C1C[C@@H](C(=O)N[C@H]2CCOc3ccccc32)c2ccc(F)cc2N1
-8.6,O=C(Cn1c(=O)c(F)cn([C@@H]2CCCO2)c1=O)N[C@@H]1CCCc2ccccc21
-8.5,O=C(C[C@@H]1CCc2ccccc2C1=O)NN=c1nc2[nH][nH]cc-2c(O)n1
-8.5,O=C1C[C@]2(CCCN(CC3CCCCC3)C2)N(C(=O)Cc2ccccc2F)N1
-8.5,Oc1cn(-c2ccccc2)nc1-c1nnc2n1C[C@@H](C(F)(F)F)CC2
-8.5,O=S1(=O)N=C2CCCCCN2[C@@H](c2cccc(C(F)(F)F)c2)N1
-8.5,N[C@H]1CCCc2cc(-c3nc(-c4ccc5ncccc5c4)no3)ccc21
-8.5,N[C@H]1CCCc2cc(-c3nc(-c4c(Cl)nc5cc(Cl)ccn45)no3)ccc21
-8.5,O=C([C@@H]1CCCc2ncccc21)N1CCC[C@H]1c1nccc(Cl)c1F
-8.4,O=C(c1c[nH]nc1[C@@H]1CCCCN1)N1CCc2ccnc(O)c2C1
-8.4,C[C@]1(c2cccc(C(=O)N3CCC[C@H]4CCNC(=O)[C@H]43)c2)NC(=O)NC1=O
-8.3,Cc1nnc([C@@H]2CCCN(Cc3nccc4c3CCCC4)C2)o1
-8.3,Cn1nccc1-c1nc(C2(c3cccc(C(F)(F)F)c3)CCC2)no1
-8.3,C[C@H]1CN(c2ccc(N=c3ccc4nnc(C(F)(F)F)n4[nH]3)cn2)C[C@@H](C)O1
-8.3,Cc1noc(C)c1CN1CC[C@@H](c2nc(C3CC3)no2)C1
-8.3,C[C@H](c1nc(C2CC2)no1)N1CCC[C@H]([C@@]2(C)NC(=O)NC2=O)C1
-8.3,Cc1cc(C)c(CNC(=O)C[C@@H]2Oc3ccccc3NC2=O)c(O)n1
-8.3,N[C@@H]1CCCc2cc(-c3nc([C@H]4CCCc5ccccc54)no3)ccc21
-8.3,CC(C)[C@H]1CN([C@@H](C)c2nnc(-c3ccc4ccccc4c3)o2)CCCO1
-8.2,O=C(NCc1ccccc1CN1CC[C@@H](O)C1)c1ccc2cc[nH]c2c1
-8.2,C[C@@H]1CCC[C@@H](C)N1C(=O)CN1C(=O)N[C@]2(CCOc3ccccc32)C1=O
-8.2,C[C@H](c1nc([C@H]2CCCCC2(F)F)no1)c1noc2ccccc12
-8.2,Cc1[nH]nc(C(=O)NCc2ccc3c(c2)OCCCO3)c1C(=O)O
-8.2,Cc1cccc(Nc2ccccc2C(=O)NO[C@H]2CCCCO2)c1C
-8.2,O=S1(=O)CC[C@@H](N=c2[nH]nc(-c3ccc4ccccc4c3)o2)C1
