docking_score,smiles
-8.8,CC(=O)N1C[C@@H]2C[C@]2(C(=O)N2CCC(c3nnc(O)o3)CC2)C1
-8.5,Cc1cccc(NC(=O)NC(=O)CN2CC[C@](O)(C(N)=O)C2)c1C
-8.3,Nc1nc(O)nc(O)c1C(=O)CNc1cccc2c1CCC2=O
-8.3,CC1(C)CCc2onc(CNC(=O)c3nnc(O)nc3O)c2C1
-8.2,CN1C(=O)N[C@@](C)([C@@H]2CCCN(Cc3nnnn3C3CC3)C2)C1=O
-8.2,O=C(Cn1cnc2c(c1=O)CCNCC2)NC(=O)NC1CCCC1
-8.2,O=C1CC[C@H](N2Cc3cc(OS(=O)(=O)F)ccc3C2=O)C(=O)N1
-8.2,O=C1C[C@@H](C(=O)N2CCN3[C@@H](CNS3(=O)=O)C2)c2ccccc2N1
-8.1,O=C(Cn1cnnc1O)NNC(=O)c1cccc2ccccc12
-8.1,CCn1cc(NS(=O)(=O)c2cn(C)c(=O)n(C)c2=O)ccc1=O
-8.0,O=C(OCC(=O)N1CCNC1=O)c1ccccc1-n1cnnn1
-8.0,Cc1nnnn1[C@@H](Cc1ccc(F)cc1)C(=O)N1CCNC(=O)C1
-8.0,NC(=O)NC(=O)CN1C(=O)N[C@@]2(CCOc3ccccc32)C1=O
-8.0,O=C(NNC(=O)c1nnc(O)c2ccccc12)c1cccnc1O
-8.0,O=C([C@@H]1COc2c(F)cc(F)cc2C1)N1O[C@@H]2C[C@H]1[C@@H](O)[C@H]2O
-8.0,Cn1c(C(=O)N2CCC[C@@H](N3CCCS3(=O)=O)C2)cccc1=O
-8.0,CNC(=O)NC(=O)[C@@H](C)OC(=O)c1nnc(O)c2ccccc12
-7.9,CC(=O)N1c2ccccc2C[C@H]1C(=O)NN1CC(=O)N(C)C1=O
-7.9,Cc1ccc(S(=O)(=O)N[C@H]2CCCCNC2=O)cc1C(N)=O
-7.9,CC1(C)C(=O)NC(=O)N1CC(=O)N[C@H]1c2ccccc2C[C@H]1O
-7.9,COC(=O)c1c[nH]nc1S(=O)(=O)N1C[C@@H]2CCC[C@@H]2[C@@H]1C(=O)O
-7.9,Cc1oc(CN(C)C(=O)c2cnc(O)n(C)c2=O)cc1C(=O)O
-7.9,CN1C(=O)C(=O)N(CC(=O)N[C@H]2CCOc3ccccc32)C1=O
-7.9,O=C(N[C@@H]1CCc2n[nH]cc2C1)c1ccc(N2CCNCC2)nn1
-7.9,C[C@H]1CN(C(=O)c2ccc3c(O)nc(=O)n(C)c3n2)C[C@@H](C)O1
-7.9,Cc1nc2c([nH]1)[C@H](NC(=O)[C@]13CNC[C@H]1CS(=O)(=O)C3)CCC2
-7.9,O=C1CNCCN1Cc1cn(-c2cccc(S(=O)(=O)F)c2)nn1
-7.9,Cn1cc(C(=O)N2CCOc3cc(O)ccc3C2)c(O)nc1=O
-7.9,CC(=O)N1CCCN([C@@H]2CN([C@@H]3CCOC3=O)C[C@H]2C)CC1
-7.8,Cc1cc(NC(=O)[C@H](C)N2CCC[C@@]3(C2)NC(=O)NC3=O)on1
-7.8,C[C@H](NC(=O)[C@]1(C)CCC[C@H]1O)c1nnc2n1CCS(=O)(=O)CC2
-7.8,O=C1NC(=O)[C@H](CC(=O)N2CCc3ccccc3[C@@H]2C(=O)O)N1
-7.8,O=C(O)CCc1cccc2c1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
-7.8,CC(=O)N1CCCN([C@@H]2CN([C@H]3CCN(C)C3=O)C[C@H]2C)CC1
-7.8,Cc1noc2ncc(S(=O)(=O)N3CCC[C@@H](S(N)(=O)=O)C3)cc12
-7.8,Cn1cnc(S(=O)(=O)N2CCC([C@@]3(C)NC(=O)NC3=O)CC2)c1
-7.8,Cc1nc2c([nH]1)[C@H](NC(=O)[C@]13CNC[C@H]1CS(=O)(=O)C3)CCC2
-7.8,O=C(O)[C@@H]1CCCN(C(=O)Cn2c(O)nc3ccccc3c2=O)C1
-7.8,CC(C)n1cnc(S(=O)(=O)N(C)Cc2nnc3c(=O)[nH]ccn23)c1
-7.8,CNC(=O)[C@H]1Cc2ccccc2N1C(=O)CN1CCC(=O)NC1=O
-7.8,CN1CC(N2C[C@H](C(=O)N3CCN(c4ncc[nH]4)CC3)CC2=O)C1
-7.8,C[C@@]1(c2ccccc2)CC(=O)N([C@H]2CC(=O)NC2=O)C1=O
-7.8,C[C@@H]1CN(C(=O)c2ccc([C@@]3(C)NC(=O)NC3=O)cc2)CCN1
-7.8,O=C1CC[C@H](N2C(=O)c3cc4nc(O)[nH]c4cc3C2=O)C(=O)N1
-7.8,CCN1CN(C(=O)Nc2ccc3c(c2)S(=O)(=O)CC(=O)N3)CC1=O
-7.8,C[C@]12CN(C(=O)[C@H]3CCNC3=O)C[C@H]1CN(S(=O)(=O)C(F)(F)F)C2
-7.8,NS(=O)(=O)c1cccc2c1CCN(C(=O)[C@@H]1CO[C@@H]3COC[C@@H]31)C2
-7.7,CN1CCC(CC(=O)NCc2nc(O)c3cnn(C)c3n2)CC1
-7.7,O=C(O)[C@@H]1CN(C(=O)Cn2cccc(C(F)(F)F)c2=O)CCO1
-7.7,CN1CC[C@H](NC(=O)N[C@@H]2c3ccccc3C[C@@H]2O)C1=O
-7.7,C[C@H](C(=O)N[C@@H]1CCCNC1=O)N1C(=O)[C@H]2CCCC[C@H]2C1=O
-7.7,Oc1ncnc2[nH]c(=N[C@H]3CCc4nnnn4C3)ccc12
-7.7,O=C(O)[C@@H]1COCCN1C(=O)Cn1cccc(C(F)(F)F)c1=O
-7.7,NC(=O)[C@@H]1CCCN1C(=O)C[C@H]1CS(=O)(=O)c2ccccc2O1
-7.7,Nc1nccnc1C(=O)NNC(=O)[C@H]1COc2ccccc2O1
-7.7,CC(=O)N1CC2CC2(C(=O)N2CCOC[C@@H]2C(=O)O)C1
-7.7,NC(=O)[C@H]1CCCN(C(=O)Cc2nnc(O)c3ccccc23)C1
-7.7,Cn1c(O)nc2cccc(C(=O)N3Cc4n[nH]cc4[C@@H]3C(N)=O)c21
-7.7,NC(=O)CN1CCCN(C(=O)CNC(=O)Cc2ccccc2)CC1
-7.7,Cn1c(=O)ccn(CC(=O)N[C@@H]2CCOc3ccccc32)c1=O
-7.7,O=C(O)c1ccnn1C1CN(C(=O)c2ccc3nnnn3c2)C1
-7.7,O=C(Cn1nnnc1O)N1CC(F)(F)[C@H]1c1ccccc1
-7.7,Cn1nc(CC(=O)NCCc2nc(=N)[nH][nH]2)c2ccccc21
-7.7,O=C1NC[C@H](C(=O)NNC(=O)[C@H]2CCS(=O)(=O)C2)c2ccccc21
-7.7,Cc1nnccc1C(=O)N1CC(O)(CNC(=O)[C@H]2C[C@@H](C)CO2)C1
-7.7,O=C(NS(=O)(=O)C[C@@H]1CCN1)[C@H]1Cc2c(Cl)cccc2CN1
-7.7,O=C1C[C@H]2C(=O)NCCN2C(=O)[C@@H](Cc2cc3ccccc3o2)N1
-7.7,O=C1NC(=O)[C@@]2(CCCN(c3ncnc4[nH]ccc34)C2)N1
-7.6,O=C(c1[nH]nc2ncnc(O)c12)N1CC2(CCC2)[C@@](F)(CO)C1
-7.6,O=C1C[C@H]2[C@H](NC(=O)C(=O)Nc3ccc4c(c3)CNC4)C[C@H]2O1
-7.6,C[C@]1(c2ccccc2F)NC(=O)N(Cc2nc(=N)[nH]c(=N)[nH]2)C1=O
-7.6,O=C(NCc1nnnn1C1CC1)N1CCO[C@H]([C@@H]2CCCO2)C1
-7.6,C[C@H](O)C(=O)N1CC[C@H]1CNC(=O)c1cnc(O)c(C(F)(F)F)c1
-7.6,CC1CCC(N2C[C@@H](C(=O)NCc3nc(O)n[nH]3)CC2=O)CC1
-7.6,O=C(Nc1ccc2nccn2c1)N1CCN2[C@H](CNS2(=O)=O)C1
-7.6,NC(=O)[C@]1(NC(=O)c2cc3c(nc2O)CCCC3=O)CCOC1
-7.6,O=C1C[C@H]2C(=O)NCCN2C(=O)[C@H](Cc2cc3ccccc3o2)N1
-7.6,O=C1NC(=O)C(=CNCC2(c3cccc(F)n3)CC2)C(=O)N1
-7.6,O=C(O)[C@@H]1CN(C(=O)[C@H]2CC(=O)N(C3CCCC3)C2)CCO1
-7.6,C[C@@H](C(=O)NC(=O)NC(C)(C)C)N1CCC[C@](O)(CC(N)=O)C1
-7.6,C[C@@H]1CN(C(=O)[C@@H]2C[C@@H]3CC(=O)[C@H]2C3)CCS1(=O)=O
-7.6,NC(=O)C(=O)NNC(=O)N[C@@H]1CCCN(Cc2ccccc2)C1
-7.6,Cc1noc([C@H]2CCCN(Cc3cc(=O)n(C)c(=O)n3C)C2)n1
-7.6,O=C(O)[C@@]1(N2CCN(Cc3cnc4cnccn34)CC2)CCOC1
-7.6,O=C(O)COc1cccc2c1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
-7.6,Cc1cc(F)cc2c1S(=O)(=O)N(Cc1cc(O)nc(O)n1)C2=O
-7.6,O=C1NCCn2nc(C(=O)N3CCC(Cc4cnn[nH]4)CC3)cc21
-7.6,O=C1CC[C@H](NC(=O)[C@H]2CC(=O)N(Cc3ccccc3)C2)C(=O)N1
-7.6,O=C(NC1Cc2ccccc2C1)c1cn([C@@H]2COC[C@H]2O)nn1
-7.6,Cn1[nH]c(=NS(=O)(=O)c2ccc3c(c2)CCC3)c(=O)n(C)c1=O
-7.6,CN(C(=O)c1[nH]nnc1[C@@H]1CCCN1)[C@@H]1CC[S@](=N)(=O)C1
-7.6,CNC(=O)[C@H]1CCCN1C(=O)CNC(=O)c1cccc2c1OCC2
-7.6,Cc1noc(C)c1CC(=O)N1CCC2(CC1)NC(=O)NC2=O
-7.6,CS(=O)(=O)N=S1(=O)CCN(C(=O)N=c2cc3n([nH]2)CCC3)CC1
-7.6,NC(=O)Cc1cccc2c1CCN(C(=O)[C@@H]1CC(=O)NC(=O)N1)C2
-7.6,O=C(O)CCc1cccc2c1C(=O)N([C@@H]1CCC(=O)NC1=O)C2=O
-7.6,Cc1cc([C@@H]2NC(=O)[C@@H](Cn3ccnn3)NC2=O)ccc1F
-7.6,Cc1nc(CCNS(=O)(=O)c2ccc3c(c2)C(=O)NCC3)n[nH]1
-7.6,O=C(O)C[C@@H]1COCCN1S(=O)(=O)c1ccc2nc(O)oc2c1
-7.6,O=C(NNS(=O)(=O)c1ccc2nc(O)oc2c1)c1ccccn1
-7.6,O=C(Cn1ccc(C(F)(F)F)n1)N1CC[C@@](O)(c2cnn[nH]2)C1
-7.6,Cn1nnc2c1CC[C@H](NC(=O)N[C@H]1CC(=O)N3CCCC[C@H]13)C2
-7.6,C[C@H]1C(=O)NCCN1C(=O)c1ccc(C(=O)O)nc1
-7.6,Cn1c(=O)c2c(nc(NN)n2Cc2ccc(F)cc2)n(C)c1=O
-7.6,CNC(=O)NC(=O)[C@@H](C)OC(=O)c1cc(S(N)(=O)=O)ccc1OC
-7.6,CC1(C)CC(O)CN(CC2CC3(CC3)S(=O)(=O)N2)C1
-7.6,O=C(O)c1cccc(S(=O)(=O)N2CC(O)(c3cc[nH]n3)C2)c1
-7.5,CN1CCN(C[C@H]2CN(c3nc(=N)[nH]c4[nH]ccc34)CCO2)CC1
-7.5,CC1=C(C(=O)N2CCN3C(CNS3(=O)=O)C2)CCC1
-7.5,CC1=C[C@H]([C@@H]2CC(=O)OC2=O)C[C@@H]2C(=O)OC(=O)[C@H]12
-7.5,O=C1CN(S(=O)(=O)c2cccc(C(=O)NC3=NCCS3)c2)CCN1
-7.5,Cn1c(O)ncc(C(=O)N2Cc3ccccc3C[C@@H]2C(=O)O)c1=O
-7.5,CC1CS(=O)(=O)CCN1C(=O)[C@@H]1C[C@H]2C[C@@H]1CC2=O
-7.5,O=C1C2CC3C1C3(C(=O)N1CCCC1CO)C2
-7.5,Cc1nn(C)cc1C1=NO[C@@H](C(=O)NC[C@@]2(C)COC(=O)N2)C1
-7.5,O=C(CO)NC[C@@H](O)CNC(=O)C1(c2ccc(F)cc2Cl)CC1
-7.5,NC(=O)Cc1ccc(CNC(=O)c2cccn3c(O)nnc23)cc1
-7.5,O=C1N[C@@H](C(=O)N2CC[C@@H](NC(=O)c3ccccc3)C2)CO1
-7.5,C[C@H](NC(=O)N1CC[C@@H](O)[C@@H](O)C1)C(=O)N1CCc2ccccc21
-7.5,Cn1c(=O)n(CC(=O)N[C@H]2CCCCNC2=O)c2ccccc21
-7.5,CC1CCC2(CC1)NC(=O)N(NC(=O)[C@H]1CCS(=O)(=O)C1)C2=O
-7.5,CN(Cc1nc(O)c2ccccc2n1)C(=O)C[C@H]1NC(=O)NC1=O
-7.5,CCn1cnnc1CNC(=O)N1CCCC[C@@H]1CNS(C)(=O)=O
-7.5,N=c1nc(COC(=O)c2cc3ccccc3nc2O)[nH]c(=N)[nH]1
-7.5,O=C1CN(C(=O)CN2CCOCC2=O)c2cc(F)c(F)cc2N1
-7.5,Cn1cc(-n2cc(C(=O)N[C@H]3CCCCNC3=O)ccc2=O)cn1
-7.5,COc1ccc(S(=O)(=O)N2CCC[C@H]3CNC[C@H]32)cc1C(N)=O
-7.5,O=C1NCCN1CC1CCN(C(=O)[C@@H]2CN3CCCN2CC3)CC1
-7.5,CC(=O)N1CC[C@@](C)(C(=O)OCc2nc(O)c3cnn(C)c3n2)C1
-7.5,C[C@H]1CN(C(=O)c2ccc([C@@]3(C)NC(=O)NC3=O)cc2)CCN1
-7.5,Cc1onc(O)c1C(=O)NC1CN(C(=O)[C@H]2CCCN2C=O)C1
-7.5,CN1C(=O)N[C@@](C)([C@H]2CCCN(Cc3nnnn3C3CC3)C2)C1=O
-7.5,CN1C[C@H](O)C[C@H]1CNC(=O)NCCn1c(O)nc2ccccc21
-7.5,O=C(NC1CC1)c1noc([C@@H]2CCCN2Cc2nc(O)n[nH]2)n1
-7.5,C[C@@H]1CN(C(=O)c2ccc([C@]3(C)NC(=O)NC3=O)cc2)CCN1
-7.5,Oc1nnc(C2CCN(c3ccnc4ncnn34)CC2)o1
-7.5,O=C1C2CC3C1C3(C(=O)N1CCOC[C@@H]1C(=O)O)C2
-7.5,C[C@H](c1cccc(-c2nn[nH]n2)c1)N1CCN(CCO)C(=O)C1
-7.5,C=C1CCC1(C(=O)O)C(=O)N1C[C@H](O)C[C@@H](OC)C1
-7.5,Cc1ccc(C)c(CN(C)C(=O)[C@@H]2CS(=O)(=O)CC(=O)N2)c1
-7.5,O=C(Cc1nc(C2CCOCC2)n[nH]1)N[C@H]1[C@H]2NCCC[C@H]21
-7.5,NC(=O)[C@H]1CNC(=O)CN1C(=O)c1noc(-c2cccc(F)c2)n1
-7.5,C[C@]1(c2cccc(C(=O)N3CC(CC(N)=O)C3)c2)NC(=O)NC1=O
-7.5,CC1=C[C@@H]([C@@H]2CC(=O)OC2=O)C[C@@H]2C(=O)OC(=O)[C@H]12
-7.5,O=C1N[C@H](C(=O)N2CC[C@]3(NC(=O)c4cnsn4)CCC[C@H]23)CO1
-7.5,CN(Cc1nc(O)c2sccc2n1)C(=O)C[C@H]1NC(=O)NC1=O
-7.5,O=C(Nc1cccc(Cc2nn[nH]n2)c1)[C@H]1CCOCCN1
-7.5,O=C1[C@@H]2CCCN2S(=O)(=O)N1CCn1cnc2ccccc2c1=O
-7.5,CN1CCN(c2cc(N3CCC[C@H](C(=O)O)C3)ncn2)CC1=O
-7.5,Cc1nccn1-c1ccc(CNC(=O)C[C@H]2NC(=O)NC2=O)cn1
